tweet,label,,,,,,,,,,,,,,,,,,,,,,,,,,
#hatırladınız mı? suriyeli 9 aylık hamile emani'yi yanında da 10 aylık bebeği ile birlikte tecavüz edip öldürülmüştüler eşinin giderken dediklerini hatırladınız mı? sakın kimseye tecavüz demeyin kaza diyin ailem türkiye'ye düşman olmasın.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli işçi çalıştırana 11 bin 400 tl destek verilecek!,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
belki sığınmak zorunda kalmış hakkıyla yaşamaya çalışıyor. belki ülkeye senden daha çok faydası var. belki suriyeli bile değil başka ülkeden gelmiş yerleşmek veya gezmek için. ne biliyorsunuz da kötü davranıyorsunuz? niye bu kadar hırs ve kin dolusunuz?,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
böylece 1 suriyelinin yüzü gözü hürmetine bir türk iş sahibi olur. allah razı olsun suriyeli kardeşlerimizden. sayelerinde işsizlikle mücadele eden insanlar iş sahibi olacak,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli kadın ile,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
evcil hayvanınızla fotoğraf çekilmeyi nasıl başarıyorsunuz. benimki kamerayı görünce vergi görmüş suriyeli gibi kaçıyor da.,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli ilk kapıya geldiğinde kapıları açtınız ve halk onlara destek olup yardım etti. ama sayıları 5 milyonu bulup bir sürü sorun oluşunca haliyle yeter bitsin bu misafirlik dedi. bu da gayet doğal. bu kadar fedakarlıktan sonra bu halk yorulup yeter dedi diye vefasızlık etmeyin,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
kılıçdaroğlu "afrin'de sorun çıktı şimdi 3 milyon suriyeli daha gelecek. bakın göreceksiniz.",hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
#sondakika cumhurbaşkanı erdoğan'dan abd ve ab'ye suriyeli mülteciler mesajı kapıları açmak zorunda kalırız. ab başta olmak üzere dünyadan olması gereken desteği alamadık almak için de bunu yapmak zorunda kalabiliriz,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli bir talibim varsa açılabilir en azından gitmez,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
1 suriyeli 1 türk yine 2. sınıf vatandaş muamelesi,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
çalışma bakanlığı öncülüğünde başlatılan programa göre suriyeli işçi çalıştırılan işyerlerine 11 bin 400 tl'ye kadar teşvik verilecek. bu proje ile suriyelilerin sigortalı çalıştırılmasının önü açılacakmış!,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli ülkesine dönsün demek suriyeliden nefret etmek ya da ölürse ölsün demek değil. vatandaşın maddi manevi çektiği sıkıntılardan kurtulmak isteyişi. siz de kabul ettiğiniz üzere büyük bir sıkıntı var ve bu yük en çok halkın üstünde. bir de vicdansız diye iftira etmeyin artık.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
neden suriyeli ile birlikte türk işe alındığında teşvik veriliyor. iyice adamların yanında promosyon olduk. iki türk alınsın suriyeli de kendi memleketine dönsün.,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
polis baskın yaptı onlar türk kahvesi içti! rahatlıkları pes dedirtti haberin devamı #yenikapı #suriye #suriyeli #haber #perşembe #avrupayakasıyenidenbaşlasın #haydi12adam #makam #renault #gözucutr #sondakika,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
kılıçdaroğlu “afrin'de sorun çıktı şimdi 3 milyon suriyeli daha gelecek. bakın göreceksiniz.” #foxhaber #afrin #suriye,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
cumhurbaşkanı erdoğan yeni göç dalgasıyla sınırımıza gelen suriyelilere kapılarımızı açmak zorunda kalabiliriz diyor. ne zorunluluğu 5 milyon sayıları vardı şimdi kaç milyon daha gelecek. ben ülkemde değil 5 milyon bir tane bile suriyeli istemiyorum. burası benim vatanım,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
türkiye'deki suriyeli girişimcilerin yüzde 72'si savaş bitse bile ülkesine dönmek istemiyor,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
kılıçdaroğlu böyle giderse 3 milyon suriyeli daha gelecek,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
istanbul fatih'te önce suriyeli zannettiğim sonradan filistinli olduklarını öğrendiğim 2 filistinliye rastladım sevindim kardeşlerim hoşgeldiniz dedim hoşbeş muhabbet derken sorgu bölümüne geçtik sordum buraya nasıl geldiniz? suudi arabistan üzerindenmiş,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
ülkelerine dönmeleri için bir sebep kalmadı suriyeli işçi çalıştırana 11 bin 400 lira destek verilecek!,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
alt katta inşaat çalışması var. matkap sesinin daha ne kadar süreceğini sormak için indim. suriyeli bir çocuk çalışıyordu evde. dedim bu ses ne kadar sürecek? immm 11 dakika dedi. zaman belirlemede suriyeli gibi ol.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
"eeeyyy rubin? 3,5 milyon suriyeli ülkesini terk edip türkiye'ye geldi. bu şu demek abd ve kürtler bölgede etnik temizlik yaptı demek. bölgeyi kontrol etme hakkı suriyededir o yapamıyorsa türkiye'dedir. orada abd'nin kürdün ne işi var?...",nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli sığınmacılar konusunda ab başta olmak üzere dünyadan gerekli desteği alamadık almak...,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
devletimiz suriyeli işçi çalıştıran firmalara 11.400 tl destek vereceğini açıklamış. allah sizi bildiği gibi yapsın. ! #perşembe #suriyeliistemiyoruz,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
adana'da suriyeli çok birine aşık olacağım diye korkuyorum çünkü güzeller,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
cumhurbaşkanı #erdoğan hedefimiz suriyeli kardeşlerimizden en az 1 milyonunu 450 kilometrelik sınır hattı boyunca oluşturacağımız güvenli bölgede iskan etmektir...,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
ya adama bakar mısınız sanki babasının evinin kapısını açıyor... insanlar rezil olmuş rezillik paçalardan akıyor istemiyoruz sn cumhurbaşkanı ülkemizde suriyeli istemiyoruz bir halkına sor bakalım biz bunları istemiyoruz!,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
bu avrupa birliği harbiden mal... bu konuda türkiye'nin yanında olması gerekirken karşısında oluyor... be salak herifler kapıları açtığımızda ne bok yiyeceksiniz... akp en çok suriyeli konusundan gol yedi suriye tarafından yeni bir göç dalgası olursa e mecbur kapıları açacak,saldırgan,,,,,,,,,,,,,,,,,,,,,,,,,,
cumhurbaşkanı erdoğan'dan abd ve ab'ye suriyeli mülteciler mesajı kapıları açmak zorunda kalırız. ab başta olmak üzere dünyadan olması gereken desteği alamadık almak için de bunu yapmak zorunda kalabiliriz,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
böyle bir suriyeli bulsam fena sikerim,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
abd ve ab'ne ekonomik yükü suriyeli mültecilerde sembolize eden gözdağı niteliğinde mündemiç kendi içinde saklı yapay ecrimisil türkiye'nin uğradığı kayıpların telafisinde rücü bile sayılamayacak ölçekte siyasi takiyecilik içeriği boş farazi söylem...,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
erdoğan cumhurbaşkanlığı hükümet sisteminden geri dönüş yok cumhurbaşkanlığı hükümet sisteminden geri dönüş olmadığını söyleyen erdoğan ayrıca hedefimiz suriyeli kardeşlerimizden en az 1 milyonunu 450 kilometrelik sınır hattında iskan etmektir dedi,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
ensar muhacir benzetimlerini bir çırpıda geçelim... onlar suriyeli olgusuna toplumsal onay boyutu kazandırmak için piyasaya sürülmüş lakırdılar!...,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
reis yine aklımı okudu. dünyaya suriyeli mülteci mesajı ya destek verin ya da kapıları açmak zorunda kalırız,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
saçımı düz yapıyorum suriyeli diyorlar kıvırcık bırakıyorum şehinşah özentisi diyorlar olum siktirin gidin lan mal mısınız aq,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
fırat'ın doğusunda abd ile yaratılan "güvenli bölge" krizini fırsat bilerek erdoğan'ın suriyeli sığınmacılara sınır kapılarını açma izansızlığı türkiye'nin güvenliğini riske eden legal işgal planı askeri seçeneklerin kullanılmasını akamete uğratarak mukavemetsiz bırakacak defacto,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
erdoğan'dan suriyeli açıklaması biz ensar olmaya talibiz 1 milyon yeni suriyeli gelebilir kapıları açarız,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
devletten suriyeli işçi çalıştırana 11 bin 400 tl destek sonra öğretmene bütçe yok.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
cumhurbaşkanı güvenli bölge yapamazsak kapıları açarız demiş alın alın onları da alın. hatta "her eve bir suriyeli" kampanyası da yapın tam olsun,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
pes dedirtecek bir olay kendisini doktor olarak tanıtan suriye uyruklu bir kadın evini merdiven altı muayenehaneye (!) çevirmiş. biz de bu tespiti sığınmacılarla ilgili süreçten sorumlu yöneticilerin dikkatlerine sunuyoruz!,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
türkiye'nin avrupa'ya gitmek isteyen suriyeli mültecilere engel olmayı onları türkiye'de tutmayı ve gitmiş olanların türkiye'ye iadesini kabul etmesi siyasi bir hata öngörüsüzlük falan değil silivri soğuğundan dolayı söyleyemeyeceğim bir şeydir.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
ab'den kendi elimizle oluşturduğumuz suriyeli mülteci sorunu için para dilenmek yerine şey deneyebiliriz mesela ayağımızı yorganımıza göre uzatmayı,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli işçi istihdamına 11 bin 400 liraya kadar yardım,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
dünyaya etkili suriyeli mülteci mesajı veriniz. bu sorun sadece benim meselem değil insanlık meselesidir. kapıları açmama ramak kaldı.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
itibardan tasarruf olmaz dediler bin odalı sarayda yaşadılar. aynı fırsatçılığı suriye politikası yaptılar ülkemize 4 milyondan fazla düşük profilli suriyeli yerleşti. ata yurdu ne bereketli görüyor musunuz!,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
yükseköğretimde suriyeli kadın öğrenciler projesi başladı,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
erdoğan "batı verilen sözü tutmadı. güvenli bölge olmazsa kapıları açmak zorunda kalırız. destek verecekseniz verin vermeyecekseniz kusura bakmayın. hazırlıklarımız tamam..." ayrıca 1 milyon suriyeli tampon bölgeye iskan edilecekmiş. bu çıkışın anlamı net,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
cb suriyeli kardeşlerimiz diyor! bunlar ne ara bizim kardeşimiz oluyor. ben asla kabullenmiyorum. kendisi nüfusuna alıp kardeş olarak kabul etmeli bence. zaten fazlasıyla saraya para giriyor. üstelik 74.500 tl ile maaş rekoru kırıyor. suriyeliler ancak benim köpeğim olabilir.,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
eylülün son haftasına kadar güvenli bölgeyi fiilen başlatmakta kararlı olduklarını belirten erdoğan hedeflerinin yaklaşık 1 milyon suriyeliyi bölgeye iskan etmek olduğunu kaydetti. abd ile #sdf erdoğan'ın tüm mültecileri oraya yerleştirme planına karşı çıkıyor.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
6 milyon suriyelinin türkiye'ye alınmasının ensarlık ile hiçbir alakası yok. israilin güvenliğini sağlamak için suriyenin içini boşaltıp sonra da boşaltılan bölgelerin israil'in güvenliğini sağlayan gruplarca doldurulması sağlanacaktır ve bu görev bizzat türkiye'ye verildi.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
lan türko bırak yenikapı'yı clio'yu suriyeli kardeşlerin geliyor eller ceplere,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
cumhurbaşkanı erdoğan genişletilmiş il başkanları toplantısında 3 milyon 650 bin sığınmacıya 8 yıldır ev sahipliği yaptığımızı yapılan harcamaların toplamı ise 40 milyar doları bulduğunu dile getirdi. #suriyeli #mülteci #akp #sığınmacı,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
erdoğan'dan suriyeli açıklaması güne başlarken çok korkunç bir haber! maalesef başta güney illerimiz olmak üzere ülke göç dalgası altında kalacak!,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
idlib'in düşmesi türkiye için 3 milyon suriyeli mülteci demek...,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
bunu en başından yapacaktık ki bugün bu kadar köşeye sıkışmış olmayacaktık... 5 milyon suriyeli yunanistan'ı çatal bıçakla fetheder!,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeliler için kapıları açılıyor yüzbinlerce geliyorlar ülkemde suriyeli istemiyorum #yenikapı,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
güvenli bölge olsun veya olmasın sınırlarımızdan içeriye bir tek suriyeli daha almayacaksınız türkiye dingonun ahırı değil bizim atalarımız kadınıyla çocuğuyla savaştı ne için? vatanıma vatansızlar gelsin kara bulut gibi çöksünler diye mi #perşembe,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
devlet eli ile suriyeli işçi alımına teşvik türkler aç gezse de olur #ibbyeboykot #birkezolsuntepkikoyun #yenikapı #suriyelileristemiyoruz #suriyeliler,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
istanbul'un da aralarında bulunduğu beş ilde suriyeli işçilerin sigortalı çalıştırılmasına yönelik yürütülen program kapsamında 1 suriyeli 1 türk işçiyi işe alan işverene 11 bin 400 liraya kadar teşvik veriliyor.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
türk veya suriyeli işçi çalıştıran işverenlere bu işçileri kayıt ettirmesi durumunda teşvik verilecek. proje yalnızca istanbul adana bursa hatay ve konya'da geçerli. toplamda 1.100 türk vatandaşı ve 1.100 suriyeli için teşvik verilecek.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
program "sadece suriyeli işçileri değil" kaçak olarak çalıştırılan veya yeni işe alınacak olan türk vatandaşlarını da kapsamaktadır. bu bir ab projesidir ve program kapsamında verilen teşvik miktarının tamamı avrupa birliği üye ülkelerinden karşılanmaktadır.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
"""suriyeli işçi istihdam edene teşvik"" başlığı ile bir çok haber sitesinde ve sosyal medya hesaplarında paylaşılmaya başlanan teşvik programı ile ilgili yanlış anlamaların önüne geçmek için bir haber hazırladık.",hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
cumhurbaşkanı erdoğan suriyeli sığınmacıları kovanları görüyoruz bunlar mandacı zihniyet,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
gözümüz aydın yeni suriyeli akımı geliyor erdoğan kendi ağzı ile diyor #ibbyeboykot #israf #yenikapı #birkezolsuntepkikoyun #suriyelileristemiyoruz #suriyeliler,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
bursa dahil 5 ilde suriyeli işçi çalıştırana devletten yardım,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
#canli cumhurbaşkanı erdoğan suriyeli sığınmacılar yaptığımız harcamalar 40 milyar doları buldu,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
yan eve suriyeli taşınmış bıktım artık suriyelilerden #suriyelileristemiyoruz,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli gibi kaçabiliriz,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeliler karşılığında yine para istiyor. batı bu parayı verir ama karşılığında milyonlarca suriyeli ülkeye girer.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
ya adam çıkmış hala 40 milyar dolar harcadık suriyelilere diyor yaaa millet aç aç banane senin suriyeli ensar kardeşlerinden ben bunları cuma namazında bile görmüyorum ensarmış ben de osmanlı torunuyum benim hakkımı neden vermiyor devlet neden gasp ediyor onun hesabını ver!,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
sabah midyat'tan diyarbakır'a suriyeli bir aile ile geldim otobüste "bir çocuk büyümeden diğerini yapıyorlar" gibi onların haberi olmadan bir sürü şey söylediler pardon insanların hayatlarıyla ilgili bu kadar yorum yapabilme hakkını size kim veriyor,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyelilerin mutluluğu çıldırtıyor. rahat olmaları toplumu geriyor savaş sonrası umursamadan çocuk yapabilmeleri haset topluyor. suriyeli bir doktorun halkının sağlık sorununu çözümü hürriyete dert olmuş.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli öğrencilere var bizim çocuklarımıza yok,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
unhcr'ın 26/04/2019 tarihli verileri göç alan ülkelerdeki suriyelilere ilişkin durumu göstermektedir. suriyeli göçünün göç eyleminde yöneldiği ülkelerdeki sayıları görsel olarak sunmak için bu verileri referans alarak hazırladığım grafiği inceleyebilirsiniz. #migration,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
her şey çok güzel valla geçen yıl 840 olan öğrenci sayısı 890 ve 130 tane de suriyeli gelme ihtimali var bilin bakalım ne eksik? sıra yok sıra...,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
evini kaçak muayenehaneye çeviren suriyeli polis baskını sırasında ailesiyle kahve içti! rahatlar çünkü ülkede doğru düzgün yaptırım olmadığını biliyorlar. hırsızlık adam yaralama tehdit... ölüm hariç hiç bir şeyin cezası yok. #afdeğilcaydiriciceza,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli hastanın irili ufaklı 7 tane çocuğu olduğunu gören yaşlı bir hastam "kızım evlenip bunlardan fazla doğurmanız lazım yoksa geçemeyeceğiz bu amına koyduklarımı" dedi. asfsada dayı bu bana yüklediğin nasıl bir sorumluluktur,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
çalışma bakanlığı suriyeli işçi çalıştırılan işyerlerine 11 bin 400 tl'ye kadar teşvik verilecek. bu proje ile suriyelilerin sigortalı çalıştırılmasının önü açılacak. sigortasız çalıştırılan kendi vatandaşlarına köpek muamelesi yapan devlet!,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
suriyeli gitsin diyoruz surili dolduruyorlar ... allah kahretsin ya ...,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
bununla da kalmıyor. türkiye'de de müslüman araplara karşı siyaseten ve toplumsal düşmanlık körükleniyor. suriyeli ve afganlara ürün satmayan esnaf tabelaları arapça tabela yasağı chp ve ip'liler...,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
yiğit'in yanına suriyeli kız çocuğunu oturtmuşlar.,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
hakikaten ab mülteci anlaşmasından vazgeçip kapıları açmak lazım. suriyeli “ mültecileri” ab yolu açık olsun...,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
sevgili gökhan türkiye'de yaşayan türklere türk denir türkiye'de yaşayan kürtlere kürt denir türkiye'de yaşayan ermenilere ermeni denir türkiye'de yaşayan boşnaklara boşnak denir dileğim ise hep beraber huzur içinde beraberce yaşamak,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
devlete seri katil diyen cumhurbaşkanına küfür eden 15 temmuz'da darbecileri destekleyen ermeni soykırımı vardır diye tweetler atan pkk'lılara açıktan destek veren chp istanbul il başkanı canan kaftancıoğlu 9 yıl 8 ay hapis cezasına çarptırıldı.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
türkiye ermenileri yeni patriğini seçmeye hazırlanıyor. ancak ermeni toplumu içinde patrik seçimi ile ilgili yoğun bir tartışma yaşanıyor,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
evet bonzailenmiş şizofrenler tıpış tıpış bunu savunuyorlar. bununla birlikte bölücü terör örgütü hdpkk'yı sözde ermeni şeysi yalanını bölünüp parçalanmayı vs vs... neyse ki arada uyanıp soru soranlar var. umutluyuz. komadan ya çıkacaklar ya çıkarılacaklar.,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
fransızların "ermeni aşkı"... fransa arnavutluk karşılaşması öncesinde arnavutluk milli marşının yerine karadağ milli marşı çalındı. anonsçu "ermenistan milli takımından özür diliyoruz" diyerek bu sefer de ermenistan milli marşını çaldı. #fransa,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
güney afrika'da müslüman toplumuna hizmet eden üç büyük osmanlı vardır. bu havalide son 20 yıldır görev yapan diplomatlarımız camiye girmekten korktukları için bu değerlerimizi afrika'ya tanıtamadık. 100 yıl önce g. #afrika'da bu görevi yapan ermeni diplomatımız yohannes efendi.,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
budunsal etnik yapısı tam 20 öğeli azeri kumuk karaçay balkar nogay kazak ost tat talus kürt çeçen kabard ingus adige abhaza çerkez dağıstan acar kalmuk gürcü ermeni. günümüzde bir başka mozaik ülke abd'dir bir konfederasyon büyük bir mozaik. ama her,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
ben anadolu insanının yüzlerce yıl yan yana yaşamış olan kürt laz ermeni gürcü çerkes türk zaza... vicdanına güveniyorum. inancına güveniyorum. sanat adı altında benliğini satılığa çıkaran insanlara değil. önde olan bizleriz. #annelerönder #annelerledireniyoruz,hiçbiri,,,,,,,,,,,,,,,,,,,,,,,,,,
ermeni işte ne bekliyorsunuz dağdaki ayı bile bunlardan daha insandır. hala da kalıntılarıyla uğraşıyoruz...,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
bu soysuz kendi babası kim olduğunu biliyor mu ki sorsan kendi babası bilmez bu ermeni vatan haini,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
hdp pkk'dır. kürtlerin destekçisi değil ermeni yahudileridir. gerçek yüzünüz ortaya çıktı artık. #sanatçılardiyarbakıra,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
devletimize katil diyen erdoğan'a hakaretler eden 15 temmuz'da darbecileri destekleyen bir oturuşta sadece 7 dakikada çeyrek domuz yiyen ermeni soykırımı vardır diye tweetler atan terörist sevici canan kaftancıoğlu'na 9 yıl 8 ay hapis cezası verildi.,saldırgan,,,,,,,,,,,,,,,,,,,,,,,,,,
azerbaycanlıyı öldürdüler sürdüler yurdunu yakıp yıktılar. karabağ'ı alıp ermeniye verdiler. ama şimdi devran değişti daha güçlüyüz. askerimiz çok istekli. ermeni de biliyor ki o topraklarımıza döneceğiz. zaman kazanmaya çalışıyor. sığınmaya gölge arıyor. kaybedeceğini anlıyor,nefret,,,,,,,,,,,,,,,,,,,,,,,,,,
